output,parameter,increment,steps,fd,oti,rel_error,plateau_spread,weighted_fd,float32_floor_rel,weighted_error
tip_RF2,q,5,0.01/0.005,-0.6941769804273333,-0.6965599246628622,0.0034327618211452914,1.2266251249555802e-05,0.020381433396564085,0.0005848915884928763,6.996460642394079e-05
tip_RF2,q,6,0.02/0.01,-1.1876140322004047,-1.188573436770654,0.0008078420633609846,1.6132038946353623e-05,0.03331387563728441,0.0001789183745066334,2.6912350033375077e-05
tip_RF2,q,7,0.02/0.01,-1.6739879335675922,-1.6730966563288407,0.0005324275168770197,1.5259875682860487e-05,0.04546367867491838,0.0001311038756929135,2.4206113544981507e-05
tip_RF2,q,8,0.01/0.005,-2.135251249585833,-2.13402896433655,0.0005724315813046458,9.969493350318223e-06,0.056494944193627716,0.00021100877477143754,3.233949024047603e-05
tip_RF2,q,9,0.02/0.01,-2.5765172072819302,-2.5751266195477727,0.000539716067188448,2.4373115214681212e-05,0.06665512519052882,8.942244816886186e-05,3.597484202578587e-05
tip_RF2,q,10,0.02/0.01,-2.9950354780469626,-2.9931413345430884,0.0006324277350829027,1.101670701393891e-05,0.07594656245454326,7.848234712540958e-05,4.8030712480459016e-05
tip_RF2,q,11,0.01/0.005,-3.389767238071987,-3.387803801142853,0.000579224705189757,7.535870744801132e-06,0.08439568341739598,0.00014125045822688292,4.888406484672925e-05
tip_RF2,q,12,0.01/0.005,-3.7646208490644186,-3.7625228255202257,0.0005573000916451845,1.0178255175659608e-05,0.09214764539734258,0.00012936770010427105,5.1353891224826985e-05
tip_RF2,q,13,0.02/0.01,-4.118468080248152,-4.1163713901594665,0.000509094655544664,4.651884012871234e-06,0.09921583642903975,6.0075736818507314e-05,5.051025207141772e-05
tip_RF2,q,14,0.01/0.005,-4.456792558942523,-4.454698568913627,0.00046984238130941893,2.8658331549863562e-06,0.10576234030077666,0.00011271430758033806,4.9691629819774034e-05
tip_RF2,q,15,0.01/0.005,-4.780003002711705,-4.7781113283971015,0.0003957475159598533,1.2469583124022473e-05,0.11182203365361439,0.00010660626144579878,4.425329204799701e-05
tip_RF2,q,16,0.01/0.005,-5.090619836534773,-5.088513311139529,0.000413805285581504,7.527034599194266e-06,0.11747912623017111,0.00010147274105292571,4.861348337954151e-05
tip_RF2,q,17,0.01/0.005,-5.391580717904228,-5.389479110729281,0.0003897942523548774,3.9482619749844355e-06,0.1228157631889726,9.706350915831367e-05,4.7872878589639245e-05
